data,adset_id,adset_name,campaign_id,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada,sessoes,leads_com_sessao
2026-07-22,120247382249470278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V3,120247382249440278,36,36,31,27,111,2.16,0,0
2026-07-22,120247382249520278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V1,120247382249440278,30,30,25,21,87,1.42,0,0
2026-07-22,120247382249530278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V2,120247382249440278,42,42,41,42,129,3.68,0,0
2026-07-22,120247382249540278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V5,120247382249440278,72,72,67,99,219,8.33,0,0
2026-07-22,120247382249550278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V6,120247382249440278,31,31,31,51,93,5.07,0,0
2026-07-22,120247382249560278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V4,120247382249440278,19,19,17,21,57,1.38,0,0
2026-07-22,120247382323040278,[AFS] [F3] [WANGARI KAMAU] V4,120247382322970278,40,40,36,41,120,3.41,0,0
2026-07-22,120247382323050278,[AFS] [F3] [WANGARI KAMAU] V6,120247382322970278,32,32,29,40,105,3.68,0,0
2026-07-22,120247382323060278,[AFS] [F3] [WANGARI KAMAU] V5,120247382322970278,40,40,36,49,123,5.64,0,0
2026-07-22,120247382323070278,[AFS] [F3] [WANGARI KAMAU] V2,120247382322970278,25,25,23,23,72,3.10,0,0
2026-07-22,120247382323080278,[AFS] [F3] [WANGARI KAMAU] V3,120247382322970278,21,21,19,24,72,2.46,0,0
2026-07-22,120247382323090278,[AFS] [F3] [WANGARI KAMAU] V1,120247382322970278,35,35,32,41,111,3.71,0,0
2026-07-22,120247461971660278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V1,120247461971670278,5,5,5,3,12,0.32,0,0
2026-07-22,120247462052200278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V2,120247461971670278,4,4,4,6,6,0.85,0,0
2026-07-22,120247462063520278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V4,120247461971670278,4,4,4,3,12,0.66,0,0
2026-07-22,120247462073710278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V5,120247461971670278,5,5,5,6,15,0.35,0,0
2026-07-22,120247462083520278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V6,120247461971670278,2,2,2,3,6,0.37,0,0
2026-07-22,120247488168300278,[AFS] [F3] [BONTLE MODISE] V1,120247488168210278,40,40,35,30,114,2.53,0,0
2026-07-22,120247488215910278,[AFS] [F3] [BONTLE MODISE] V2,120247488168210278,53,53,51,62,162,5.39,0,0
2026-07-22,120247488220950278,[AFS] [F3] [BONTLE MODISE] V3,120247488168210278,21,21,19,6,63,1.20,0,0
2026-07-22,120247488225850278,[AFS] [F3] [BONTLE MODISE] V4,120247488168210278,39,39,34,38,123,3.87,0,0
2026-07-22,120247488230320278,[AFS] [F3] [BONTLE MODISE] V5,120247488168210278,49,49,44,36,138,4.42,0,0
2026-07-22,120247488234950278,[AFS] [F3] [BONTLE MODISE] V6,120247488168210278,20,20,18,12,60,1.03,0,0
2026-07-22,120247488259350278,[AFS] [F3] [LUNGILE HADEBE] V1,120247488259330278,40,40,36,39,126,4.32,0,0
2026-07-22,120247488354910278,[AFS] [F3] [LUNGILE HADEBE] V2,120247488259330278,30,30,25,32,96,3.54,0,0
2026-07-22,120247488362150278,[AFS] [F3] [LUNGILE HADEBE] V3,120247488259330278,32,32,27,26,96,2.46,0,0
2026-07-22,120247488368490278,[AFS] [F3] [LUNGILE HADEBE] V4,120247488259330278,14,14,13,17,42,1.90,0,0
2026-07-22,120247488373900278,[AFS] [F3] [LUNGILE HADEBE] V5,120247488259330278,28,28,25,52,96,4.54,0,0
2026-07-22,120247488419540278,[AFS] [F3] [LUNGILE HADEBE] V6,120247488259330278,28,28,27,35,87,3.94,0,0
2026-07-22,120247488474100278,[AFS] [F3] [LERATO MAHLANGU] V1,120247488474000278,45,45,35,55,138,6.38,0,0
2026-07-22,120247488538970278,[AFS] [F3] [LERATO MAHLANGU] V2,120247488474000278,18,18,16,24,57,2.90,0,0
2026-07-22,120247488660110278,[AFS] [F3] [LERATO MAHLANGU] V3,120247488474000278,35,35,29,32,111,2.38,0,0
2026-07-22,120247488793560278,[AFS] [F3] [LERATO MAHLANGU] V4,120247488474000278,25,25,24,28,66,3.12,0,0
2026-07-22,120247488827940278,[AFS] [F3] [LERATO MAHLANGU] V5,120247488474000278,64,64,60,92,198,8.89,0,0
