data,adset_id,campaign_id,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,120247488968980278,120247488930090278,5.54,4.99,77,17,71.98
2026-07-22,120247488989090278,120247488930090278,4.74,4.27,81,11,58.53
2026-07-22,120247489010590278,120247488930090278,0.69,0.62,20,4,34.28
2026-07-22,120247489016960278,120247488930090278,7.62,6.86,115,23,66.27
2026-07-22,120247489033080278,120247488930090278,3.91,3.52,64,19,61.06
2026-07-22,120247489048840278,120247489048850278,3.11,2.8,61,15,50.95
2026-07-22,120247489055990278,120247489056040278,2.69,2.42,68,14,39.53
2026-07-22,120247489113490278,120247489056040278,10.71,9.64,101,17,106.02
2026-07-22,120247489137090278,120247489056040278,2.96,2.67,46,10,64.44
2026-07-22,120247489142030278,120247489048850278,1.99,1.8,39,6,51.15
2026-07-22,120247489148840278,120247489048850278,4.39,3.95,66,17,66.58
2026-07-22,120247489149860278,120247489056040278,1.24,1.11,35,5,35.32
2026-07-22,120247489152530278,120247489048850278,1.9,1.71,22,2,86.55
2026-07-22,120247489155770278,120247489048850278,0.47,0.42,9,2,52.22
2026-07-22,120247489155880278,120247489056040278,5.34,4.8,99,15,53.93
2026-07-22,120247489160390278,120247489048850278,4.92,4.43,66,7,74.6
2026-07-22,120247489160520278,120247489056040278,13.63,12.26,210,38,64.89
2026-07-22,120247490558800278,120247490527990278,0.19,0.17,2,1,96.9
2026-07-22,120247490572030278,120247490527990278,0.09,0.08,10,0,8.89
2026-07-22,120247490575360278,120247490527990278,0.39,0.35,5,1,78.88
2026-07-22,120247490579700278,120247490527990278,0.27,0.24,7,0,38.76
2026-07-22,120247490584240278,120247490527990278,1.53,1.38,18,4,84.94
2026-07-22,120247490597970278,120247490598050278,0.15,0.13,8,1,18.15
2026-07-22,120247490618490278,120247490598050278,0.42,0.38,17,2,24.63
2026-07-22,120247490620890278,120247490598050278,1.27,1.14,25,5,50.76
2026-07-22,120247490623620278,120247490598050278,0.11,0.1,8,1,14.19
2026-07-22,120247490626940278,120247490598050278,0.52,0.47,5,1,103.56
2026-07-22,120247490631910278,120247490598050278,0.2,0.18,5,1,39.86
2026-07-22,120247490644830278,120247490644850278,0.24,0.21,8,0,29.46
2026-07-22,120247490686120278,120247490644850278,0.26,0.23,3,1,86.1
2026-07-22,120247490688600278,120247490644850278,0.31,0.28,4,0,76.75
2026-07-22,120247490699100278,120247490644850278,0.01,0.01,1,0,5.8
2026-07-22,120247490703500278,120247490644850278,0.41,0.37,7,2,58.9
2026-07-22,120247506168140278,120247506168050278,2.17,1.96,17,3,127.79
2026-07-22,120247506197150278,120247506168050278,1.17,1.06,29,4,40.5
2026-07-22,120247506203840278,120247506168050278,3.51,3.16,57,10,61.64
2026-07-22,120247506216350278,120247506168050278,0.28,0.25,8,2,35.21
2026-07-22,120247506238310278,120247506168050278,4.17,3.75,32,5,130.32
2026-07-22,120247506249690278,120247506168050278,1.96,1.76,21,2,93.39
2026-07-22,120247506424250278,120247506424170278,1.3,1.17,35,5,37.2
